cDC1_CLEC9A,cDC2_CD1C,cDC3_LAMP3,Macro_C1QC,Macro_FN1,Macro_GPNMB,Macro_IL1B,Macro_INHBA,Macro_ISG15,Macro_LYVE1,Macro_NLRP3,Macro_SPP1,Mast_KIT,Mono_CD14,Mono_CD14CD16,Mono_CD16,pDC_LILRA4
RAB11FIP1,JAML,KIF2A,MSR1,VSIG4,CST3,NR4A2,ABL2,IL1RN,MSR1,S100A4,TPI1,ANXA1,CFD,CSTA,SPN,CLEC4C
RGCC,TMEM14C,CDKN1A,STAB1,FCGRT,CTSC,PNRC1,CFLAR,FCGR1A,RGL1,SLC25A37,PHLDA1,HSP90AB1,RPLP2,CD52,LRRC25,STMN1
NAAA,DUSP4,HLA-DQA1,RNASE1,ALDH2,ITM2B,GPR183,HLA-DRB1,PKM,FCGRT,CDKN1A,SOD2,RGS13,RPL34,LY6E,MS4A7,SPIB
06-Sep,LSP1,GABARAPL2,GPNMB,GABARAP,CTSH,FCGR2A,ZC3H12A,CXCL9,HLA-DMA,S100A12,PLAUR,HPGD,ATP5E,RPS4Y1,SELPLG,SMPD3
EEF1B2,SGK1,VOPP1,NPC2,ATP1B3,HEXA,TNFAIP3,GPR183,MX1,CXCL3,THBS1,CD14,RP11-354E11.2,SERF2,S100A9,FCER1G,CD74
NET1,EEF1B2,MGLL,AKR1B1,SDS,CD81,AKR1B1,NFKBIZ,SH3BGRL3,SGK1,C5AR1,UPP1,MLPH,SLC25A37,FTL,NAP1L1,CCDC50
CST7,CXCR4,DUSP4,MRC1,S100A11,SDS,CXCR4,RBKS,ATOX1,LILRB5,CD300E,APOE,RPS27A,CD14,RPL30,PTPN6,LILRB4
HLA-DMA,NPM1,TUBB,RGS1,VEGFA,PTMS,CXCL16,CD83,ANKRD22,CD14,TNFAIP3,CTSD,NSMCE1,CD52,UBA52,CARD16,SEL1L3
HMGN1,PRCP,CCL19,CD81,GRN,TYROBP,TREM2,THAP2,CD44,FOSB,BTG1,ALOX5AP,ACSL4,MT-ND4,RPL26,SPI1,FAM129C
ASAP1,CXCL16,CD40,HLA-DMB,SORL1,LGMN,CSF1R,GADD45B,GLIPR2,CCL3,THAP2,FABP5,CALB2,MCEMP1,CST3,09-Sep,GAS6
HINT1,CSF2RA,BASP1,CTSC,RAB31,LILRB4,RNASE6,PDE4B,TNFSF13B,SLC1A3,CD55,PLIN2,SIGLEC6,NEAT1,RPL22,CDKN1C,SCT
PPT1,FILIP1L,CCL22,GSN,PLXDC2,RNASE6,DUSP1,PLSCR1,RNF213,ATF3,PTGS2,CD44,EEF1A1,THBS1,COTL1,TKT,NR3C1
GSTP1,RPLP0,EBI3,CTSL,CTSB,MSR1,NPM1,DSE,SLAMF7,MERTK,S100A10,NPC2,UBB,OAZ1,FAU,TIMP1,PPIB
ACTN1,HLA-DQA2,TRAF1,PTMS,CXCR4,GPX4,CD9,PMAIP1,PSMB8,EGR1,MCEMP1,FBP1,H3F3B,SELL,RPL36,RAC2,LRRC26
CRIP1,EEF1G,ISCU,LGALS3BP,APOE,SLC1A3,APOC1,PNRC1,B2M,CTSB,IVNS1ABP,RAB13,RPL14,LSP1,RPL11,OAZ1,CYB561A3
