signature
pancreatic epithelial cell Sig 5
pancreatic epithelial cell Sig 13
fibroblast Sig 3
macrophage Sig 2
macrophage Sig 4
"CD4-positive, alpha-beta T cell Sig 4"
myeloid dendritic cell Sig 9
