Zhijun Xiao 2021 - IRRG,Fengxiao Xie 2022 - IRGS
ADM,CCL22
DCBLD2,EBI3
EREG,DCBLD2
ITGA5,IL18
MIF,TNFSF10
TREM1,GNA15
BTG2,MMP14
,RTP4
,BST2
,LY6E
,IRAK2
,GNAI3
,NMI
,AQP9
,CXCL9
,CXCL10
,EREG
,F3
,CDKN1A
,ADM
,PVR
,OSMR
,IL15RA
,LDLR
,P2RY2
,MET
,SGMS2
