names	scores	logfoldchanges	pvals	pvals_adj	cluster
STAT1	4.1972756	0.5020934	2.875321403772899e-05	0.00015850961940236266	Macro_FN1
ERMAP	4.191924	0.8509014	2.9456657801060764e-05	0.00016215563827046966	Macro_FN1
ARF3	4.1872344	0.4756988	3.003730852054713e-05	0.00016521010011284932	Macro_FN1
ITGAX	4.1818404	0.4630554	3.0742053962442335e-05	0.00016894842052039342	Macro_FN1
METTL9	4.181282	0.47481823	3.082247959957657e-05	0.00016930756889927174	Macro_FN1
TAF10	4.1811595	0.4828778	3.084117036478448e-05	0.00016938262335306408	Macro_FN1
GTF3C6	4.1795154	0.47982353	3.106256552048776e-05	0.00017048738925677057	Macro_FN1
MS4A4E	4.1763096	0.6508759	3.151443041384448e-05	0.00017285482962137	Macro_FN1
PLEKHA2	4.173968	0.5348579	3.182798111258131e-05	0.0001744894233008973	Macro_FN1
CERK	4.1731215	0.5654854	3.194799701270406e-05	0.00017511888910786574	Macro_FN1
CPA6	4.167748	3.4598534	3.27597024583087e-05	0.0001794513761388804	Macro_FN1
CRK	4.1615014	0.5111787	3.359107625796937e-05	0.00018382616914666556	Macro_FN1
PSMB3	4.159213	0.37750864	3.3901627795034145e-05	0.00018546540784638424	Macro_FN1
WNK1	4.1581416	0.48279285	3.4077025167418895e-05	0.00018636443531748291	Macro_FN1
SNRPF	4.15142	0.4720794	3.507846718716498e-05	0.00019165459273623103	Macro_FN1
KDM4B	4.1487074	0.58878183	3.550765736515298e-05	0.0001939366197538441	Macro_FN1
SHTN1	4.144338	0.51080364	3.617444219748633e-05	0.0001975144474804901	Macro_FN1
HUWE1	4.133815	0.52564925	3.78528226357176e-05	0.00020654461633811641	Macro_FN1
RP11-342M1.3	4.125495	1.5685152	3.9277320258639775e-05	0.00021353085401429586	Macro_FN1
CTD-2192J16.22	4.125372	1.0355356	3.9281146405625333e-05	0.00021353085401429586	Macro_FN1
ADORA2B	4.1229644	0.72933835	3.967577281924132e-05	0.00021509822837836154	Macro_FN1
L3MBTL4-AS1	4.1212254	1.0498816	3.998562225373984e-05	0.0002162908261707353	Macro_FN1
C11orf1	4.120749	0.6774528	4.0050014910539055e-05	0.00021656960397940987	Macro_FN1
GHITM	4.1148725	0.43151885	4.1038618087737915e-05	0.00022039451671154628	Macro_FN1
UROD	4.113059	0.5167455	4.137772045027606e-05	0.0002218620166854872	Macro_FN1
GRAMD1B	4.1106324	0.97018796	4.1839176866527904e-05	0.00022390870796391217	Macro_FN1
DNAJC8	4.109458	0.461383	4.200733912713717e-05	0.00022470158510077152	Macro_FN1
CH17-340M24.3	4.10783	0.5959272	4.23222338407082e-05	0.0002261705546437466	Macro_FN1
COX16	4.102223	0.47098583	4.333001909818828e-05	0.00023107971881835328	Macro_FN1
P3H2	4.101359	0.70689315	4.351540539026878e-05	0.00023195824540732734	Macro_FN1
POLR2J	4.099541	0.4629641	4.382547174210658e-05	0.00023353715718464957	Macro_FN1
SRRM1	4.0937257	0.42439783	4.491514234757217e-05	0.00023900360174654086	Macro_FN1
AP001046.5	4.0917716	1.1614796	4.5355572302180264e-05	0.00024123293656663961	Macro_FN1
POLR3GL	4.0859604	0.4912724	4.6445280872511406e-05	0.00024675611695339	Macro_FN1
GTF3A	4.08561	0.4547121	4.650396568138642e-05	0.0002470289483948659	Macro_FN1
MRPS15	4.0853353	0.4842639	4.656900510623263e-05	0.0002472574941773404	Macro_FN1
APH1A	4.084393	0.4459196	4.674283437826504e-05	0.00024810224661960656	Macro_FN1
SLC9A7	4.081859	0.71414536	4.728738826082959e-05	0.00025091358426147906	Macro_FN1
ANKRD11	4.078347	0.47311473	4.796677436585817e-05	0.00025439831504536835	Macro_FN1
LDLRAD3	4.077838	0.66904485	4.809759415007304e-05	0.00025505198887197997	Macro_FN1
ARHGAP10	4.076292	0.6265569	4.8411030722687396e-05	0.00025659293207019494	Macro_FN1
FIBP	4.0679736	0.46944857	5.01278739118996e-05	0.00026544217878163523	Macro_FN1
BOD1	4.063623	0.61762923	5.108273039795656e-05	0.0002703284934865319	Macro_FN1
CREBL2	4.061908	0.49474898	5.143794869127746e-05	0.00027216555326694457	Macro_FN1
FOXO3	4.0575094	0.47850135	5.2398017365698786e-05	0.00027702789849676056	Macro_FN1
FAM118A	4.0515037	0.5778823	5.3765673434284646e-05	0.0002840803827340108	Macro_FN1
LOXL3	4.0405884	0.6757546	5.630793776099833e-05	0.00029714011823321504	Macro_FN1
MRPL40	4.039861	0.4993583	5.646051399682021e-05	0.00029785197410503526	Macro_FN1
EPB41	4.036616	0.59795886	5.725024021374709e-05	0.00030197081931152074	Macro_FN1
