names	scores	logfoldchanges	pvals	pvals_adj	cluster
S100A10	31.861227	1.811054	1.0232140475851341e-140	7.398320626466418e-139	cDC1_CLEC9A
TUBA1A	31.581964	3.6880422	8.11916025998367e-137	5.663912749480119e-135	cDC1_CLEC9A
PTMS	31.55346	3.7824757	2.7244921381089507e-136	1.8772809427697953e-134	cDC1_CLEC9A
NAP1L1	31.385975	2.5118074	5.455025312728767e-137	3.8133116781552504e-135	cDC1_CLEC9A
MARCKSL1	31.189953	3.7899363	2.166388104936784e-134	1.468697802972636e-132	cDC1_CLEC9A
SLAMF7	31.184572	5.1770997	3.417317254077282e-133	2.2982652207361266e-131	cDC1_CLEC9A
IRF8	31.112335	4.116604	1.5328982339408463e-133	1.0329894618880574e-131	cDC1_CLEC9A
NME4	30.853567	4.43292	1.2651357048715003e-131	8.374750970518729e-130	cDC1_CLEC9A
HLA-DRB5	30.664846	2.484845	1.1722212136296326e-132	7.852250809550068e-131	cDC1_CLEC9A
GYPC	30.491524	3.668426	2.7055461528720426e-130	1.7666796913734612e-128	cDC1_CLEC9A
FLT3	30.23576	5.524718	9.854007108202973e-128	6.324207914357924e-126	cDC1_CLEC9A
VAC14	30.176363	5.258516	1.8987258562823814e-127	1.2162674715129003e-125	cDC1_CLEC9A
ANXA6	30.150782	4.2100368	8.189359546390648e-128	5.2658832167192076e-126	cDC1_CLEC9A
TMEM50B	29.751062	4.443928	2.410924324767408e-125	1.5183866205366924e-123	cDC1_CLEC9A
KIAA0226L	29.434343	5.6540933	3.3709048524028176e-123	2.0764034386994613e-121	cDC1_CLEC9A
DAPP1	29.407503	4.706944	2.620017102310357e-123	1.6168288689605341e-121	cDC1_CLEC9A
TMSB4X	28.973701	1.1094271	3.793272285529755e-121	2.2946232744818593e-119	cDC1_CLEC9A
TPM4	28.773232	2.387972	6.334083732250394e-122	3.8454165274674735e-120	cDC1_CLEC9A
CCND1	28.681278	5.702066	5.802316324247524e-119	3.448029034024622e-117	cDC1_CLEC9A
CD59	28.636227	3.9910629	2.8966592567212954e-119	1.727434283114466e-117	cDC1_CLEC9A
NME2	27.781961	1.4113065	2.5312556618899615e-116	1.4730246679053604e-114	cDC1_CLEC9A
DENND1B	27.062757	4.332131	4.712699209867361e-110	2.6073840258993572e-108	cDC1_CLEC9A
S100B	27.014954	6.394448	1.5683486098176657e-109	8.634630401829481e-108	cDC1_CLEC9A
SEMA7A	26.892202	5.586173	7.635295823903082e-109	4.183148902286024e-107	cDC1_CLEC9A
VMO1	26.829712	4.4861608	7.5064302125871365e-109	4.1192452700799836e-107	cDC1_CLEC9A
GPR137B	26.772598	3.840123	1.1127862844967755e-108	6.067026063079993e-107	cDC1_CLEC9A
LMNA	26.651382	3.7929094	2.1670895615435867e-108	1.1777083175266066e-106	cDC1_CLEC9A
HN1	26.586264	2.6452236	1.7813765056064526e-108	9.696558962827756e-107	cDC1_CLEC9A
LIMD2	26.541716	2.849967	4.1821764862016984e-108	2.2691506364908216e-106	cDC1_CLEC9A
SERPINF1	26.401497	4.3330097	2.437554852493957e-106	1.2974877282769571e-104	cDC1_CLEC9A
PSME2	26.339598	1.859104	4.654694528067786e-108	2.5174201834464844e-106	cDC1_CLEC9A
RHOF	26.299387	4.135915	9.185138675117181e-106	4.866101611940225e-104	cDC1_CLEC9A
ELOVL5	26.256176	3.3838944	6.73125345019897e-106	3.577332078091547e-104	cDC1_CLEC9A
CAMK2D	26.149208	4.354334	7.754385759465136e-105	4.0760729138754805e-103	cDC1_CLEC9A
BASP1	26.048353	3.0602298	3.648257522178853e-105	1.926714560380788e-103	cDC1_CLEC9A
SYNGR2	25.632847	2.173268	4.551456773546017e-103	2.3520979222064342e-101	cDC1_CLEC9A
ITGB7	25.488918	4.7205935	5.386095110395538e-101	2.724911240985995e-99	cDC1_CLEC9A
CXCL16	25.471874	2.3843436	3.931609429331283e-102	2.013246931791615e-100	cDC1_CLEC9A
