names	scores	logfoldchanges	pvals	pvals_adj	cluster
NUDT11	-0.776488	-0.83908916	0.4376992397994919	0.6656363145786279	cDC3_LAMP3
CAMTA2	-0.7765984	-0.16837333	0.43763795074622236	0.6656031918589517	cDC3_LAMP3
ZNF700	-0.7767679	-0.25778827	0.4375374407445771	0.6654803651174911	cDC3_LAMP3
RPL27A	-0.7784161	-0.079343274	0.4365668848821511	0.6642140620978597	cDC3_LAMP3
AC099850.1	-0.7785515	-0.44182947	0.4364851079315931	0.6641368874976655	cDC3_LAMP3
TBC1D24	-0.7788574	-0.4407448	0.4363043718265468	0.6639045975849553	cDC3_LAMP3
CCDC80	-0.77922803	-0.8420238	0.43608322656751874	0.6635980596136742	cDC3_LAMP3
STAM2	-0.77965796	-0.16599247	0.4358353346619408	0.6632507911160035	cDC3_LAMP3
TCFL5	-0.7809044	-0.5497678	0.43510049419147356	0.6622222446150289	cDC3_LAMP3
RBM41	-0.7809984	-0.20754385	0.43504688198509534	0.6621705579620455	cDC3_LAMP3
LINC00520	-0.78155595	-0.84363365	0.4347157768833798	0.661763909898651	cDC3_LAMP3
TBKBP1	-0.78174466	-0.4461369	0.4346074893683842	0.6616811145803777	cDC3_LAMP3
LINC00471	-0.7820275	-0.8436086	0.43443935527867683	0.6614849128636512	cDC3_LAMP3
FCHSD1	-0.78257716	-0.20817527	0.4341195564587691	0.6610577274516096	cDC3_LAMP3
SCOC-AS1	-0.78342825	-0.49165213	0.43361930370047397	0.6604750607514926	cDC3_LAMP3
RP11-582J16.4	-0.78367287	-0.845475	0.4334721138469383	0.6603105657560803	cDC3_LAMP3
MSH5	-0.7846483	-0.28919324	0.43290419702073013	0.6596616585086201	cDC3_LAMP3
PPM1M	-0.78532827	-0.12294381	0.43250658984095536	0.6591377736714076	cDC3_LAMP3
RP11-973N13.4	-0.7856037	-0.41342214	0.43234418877890324	0.6590095044884129	cDC3_LAMP3
MSANTD1	-0.78648204	-0.84815097	0.4318249359505084	0.6582775818629341	cDC3_LAMP3
GRK4	-0.7892441	-0.36820653	0.43021496858255603	0.6563281332708795	cDC3_LAMP3
C10orf12	-0.78995186	-0.27474067	0.4298020360036622	0.65581694597896	cDC3_LAMP3
RP11-440L14.1	-0.7901646	-0.414636	0.4296768220209881	0.655655579057795	cDC3_LAMP3
SCLT1	-0.7905012	-0.12707944	0.4294822534198619	0.6553883626235881	cDC3_LAMP3
LXN	-0.79078203	-0.21841985	0.4293178027718566	0.6551967590630916	cDC3_LAMP3
LYRM1	-0.7908827	-0.15455481	0.4292596216723029	0.6551376406498426	cDC3_LAMP3
CETP	-0.7915381	-0.41465786	0.42887578871929555	0.6545814832899051	cDC3_LAMP3
KLRF1	-0.792227	-0.852735	0.428470477255365	0.6540221192643956	cDC3_LAMP3
MRI1	-0.7926749	-0.22930966	0.428214873813376	0.6536911905703103	cDC3_LAMP3
BCKDHB	-0.7935172	-0.2469592	0.42772455236662166	0.6531794356164317	cDC3_LAMP3
RP11-768F21.1	-0.7935611	-0.65307736	0.42769585721821823	0.6531710654883446	cDC3_LAMP3
ARRDC2	-0.7945094	-0.12443938	0.4271477240909215	0.6524168366055988	cDC3_LAMP3
PENK	-0.79649705	-0.67075557	0.42599082432113355	0.6508268266380826	cDC3_LAMP3
HECTD2	-0.7975813	-0.28472018	0.4253625013636886	0.6501612253408532	cDC3_LAMP3
ELMO2	-0.7982321	-0.17926452	0.42498550325164586	0.6496149138756501	cDC3_LAMP3
TMEM168	-0.79824144	-0.1955033	0.42497995932609056	0.6496149138756501	cDC3_LAMP3
MYO16	-0.7983497	-0.85767895	0.42491301527137226	0.6495630477997195	cDC3_LAMP3
C21orf91	-0.79927725	-0.17321832	0.4243796751167921	0.6489500241214229	cDC3_LAMP3
PHF7	-0.79928243	-0.28477868	0.4243761372822976	0.6489500241214229	cDC3_LAMP3
YIPF6	-0.7996758	-0.14048265	0.4241490999104479	0.6487779086790735	cDC3_LAMP3
RUFY2	-0.79985654	-0.23998292	0.42404390314389007	0.6487133358865955	cDC3_LAMP3
NBPF19	-0.799867	-0.13978198	0.42403841681789334	0.6487133358865955	cDC3_LAMP3
MAGI2	-0.79989505	-0.55912197	0.42401985671018294	0.6487133358865955	cDC3_LAMP3
ADAL	-0.80010235	-0.32483006	0.42390127001655586	0.6486049403722735	cDC3_LAMP3
TCP11L2	-0.80051357	-0.2644824	0.4236631888534963	0.6482995360929064	cDC3_LAMP3
DHX36	-0.802524	-0.1204637	0.42250152261444174	0.6467569080446595	cDC3_LAMP3
ZHX3	-0.8035599	-0.4544463	0.42190111926295104	0.6460726406601769	cDC3_LAMP3
KIT	-0.8036837	-0.1769446	0.42182915407350974	0.6459917969890391	cDC3_LAMP3
RRAGA	-0.80470234	-0.1259209	0.42124379391763145	0.645244267441229	cDC3_LAMP3
ZNF888	-0.805715	-0.86340153	0.4206547745747635	0.6444569624208649	cDC3_LAMP3
DAB2IP	-0.80586493	-0.8632687	0.42056901347455966	0.6443548717720905	cDC3_LAMP3
SCFD2	-0.80592895	-0.2257597	0.42053617032191437	0.6443338512494466	cDC3_LAMP3
FGFR1OP2	-0.80612344	-0.12157894	0.42042460981279206	0.6442412118347961	cDC3_LAMP3
NDUFA1	-0.8062004	-0.09740379	0.4203799421144395	0.6442116600538466	cDC3_LAMP3
ZNF559	-0.80622727	-0.34053126	0.4203633515157854	0.6442116600538466	cDC3_LAMP3
GTPBP4	-0.8065375	-0.13725832	0.4201858498134179	0.644002093504972	cDC3_LAMP3
ANAPC2	-0.8066689	-0.15517946	0.4201100749854324	0.6439152466250812	cDC3_LAMP3
KDM5D	-0.8084745	-0.25068578	0.41907046797630865	0.6425556472352102	cDC3_LAMP3
PPCDC	-0.8089725	-0.15049826	0.4187845790068929	0.642204970191983	cDC3_LAMP3
ZNF467	-0.8093797	-0.1591049	0.4185504259313372	0.6419627663569955	cDC3_LAMP3
CASC3	-0.81050134	-0.13770023	0.41790643795569193	0.641150146638698	cDC3_LAMP3
MICALCL	-0.8109068	-0.4244973	0.41767212837337375	0.6408198485229477	cDC3_LAMP3
RNF20	-0.81157064	-0.16148327	0.4172925590206832	0.6402958005211029	cDC3_LAMP3
UNC5CL	-0.8122052	-0.86864	0.4169239746268244	0.6398467957675346	cDC3_LAMP3
CDCA8	-0.81254846	-0.6648868	0.4167283488251212	0.6396164401644858	cDC3_LAMP3
APOBEC3D	-0.8129092	-0.45816317	0.41652336255036504	0.639348466027607	cDC3_LAMP3
RP11-69E11.8	-0.8137549	-0.8697576	0.4160359001234438	0.6386584180946429	cDC3_LAMP3
SPTA1	-0.8141588	-0.8702113	0.41580440759713644	0.6383321354828647	cDC3_LAMP3
WDHD1	-0.8143865	-0.3992879	0.41567799651149884	0.6382039989305869	cDC3_LAMP3
WDR24	-0.8147306	-0.30725813	0.4154812903011972	0.6379523603449023	cDC3_LAMP3
AC079922.3	-0.8171557	-0.3198528	0.4140952905676465	0.6361721101762849	cDC3_LAMP3
DCAF16	-0.81731665	-0.20916678	0.41400399102380137	0.6361057734484743	cDC3_LAMP3
NIFK-AS1	-0.8177123	-0.28279567	0.4137772874965505	0.6358285184890214	cDC3_LAMP3
NRL	-0.81852347	-0.42784923	0.4133141639758574	0.6351747977652241	cDC3_LAMP3
KDELC1	-0.81944716	-0.87435305	0.41278383874654023	0.6345334487305957	cDC3_LAMP3
RP13-650J16.1	-0.819452	-0.8738774	0.4127829847297604	0.6345334487305957	cDC3_LAMP3
TM7SF3	-0.8205909	-0.14474131	0.41213722661095675	0.6336840245244856	cDC3_LAMP3
TWIST2	-0.8216657	-0.876172	0.41152060118947464	0.6329381082064253	cDC3_LAMP3
UGDH-AS1	-0.821683	-0.40111285	0.4115136240347571	0.6329381082064253	cDC3_LAMP3
CTD-2302E22.6	-0.8218174	-0.8759547	0.41143552627433033	0.6329034224444007	cDC3_LAMP3
NOP14	-0.82193804	-0.15999156	0.41137040722870566	0.6328804393024979	cDC3_LAMP3
GPSM1	-0.82201946	-0.46206194	0.411321625526751	0.6328393476346336	cDC3_LAMP3
BMP1	-0.82323545	-0.3468844	0.41063177985494514	0.6319172044043171	cDC3_LAMP3
RTP5	-0.8237719	-0.877828	0.4103234447928249	0.6315292412227956	cDC3_LAMP3
TAB1	-0.82409406	-0.26072314	0.4101445899740511	0.6314270225068846	cDC3_LAMP3
MZF1-AS1	-0.8242113	-0.46320575	0.4100762832186049	0.6313641341137763	cDC3_LAMP3
RP5-821D11.7	-0.8249079	-0.34779662	0.40968150359024247	0.6309158819859056	cDC3_LAMP3
ADK	-0.8257844	-0.13283381	0.4091863246428248	0.630326156563587	cDC3_LAMP3
COX10	-0.82806057	-0.19773713	0.40789663935114173	0.6286294974138985	cDC3_LAMP3
RP11-16N11.2	-0.82812226	-0.88112104	0.40785786533396295	0.6286246244253487	cDC3_LAMP3
RP5-1021I20.2	-0.8286685	-0.88199157	0.4075472739637005	0.6282767274001574	cDC3_LAMP3
RP11-196G18.23	-0.8288111	-0.6755532	0.4074688255938246	0.6281974197921906	cDC3_LAMP3
SEC16A	-0.8299974	-0.14947723	0.40680129825156197	0.6273911033780912	cDC3_LAMP3
LZIC	-0.83024514	-0.14028667	0.406661486870574	0.6272684553477897	cDC3_LAMP3
MTRR	-0.8315712	-0.20355695	0.4059125481277861	0.6263325166148458	cDC3_LAMP3
