names	scores	logfoldchanges	pvals	pvals_adj	cluster
DDX24	38.201344	3.8067563	1.4557036096438558e-184	8.45663403850691e-183	pDC_LILRA4
SOX4	38.03655	6.6088457	4.476658972818834e-181	2.5740025158730002e-179	pDC_LILRA4
CXCR4	37.999203	4.148265	1.2101807996067817e-183	7.006156677311151e-182	pDC_LILRA4
DSTN	37.755394	4.938524	3.170090917573563e-180	1.8073272990985385e-178	pDC_LILRA4
P2RY6	37.679813	6.623962	1.1463587269313548e-178	6.459098820271751e-177	pDC_LILRA4
FCHSD2	37.653572	5.13722	2.6028810921020702e-179	1.4764558167893461e-177	pDC_LILRA4
VIMP	37.335896	4.122344	1.1001899884977535e-178	6.209346980308762e-177	pDC_LILRA4
ODC1	36.924423	5.2998686	6.196404011067205e-175	3.383819072105323e-173	pDC_LILRA4
OPN3	36.88372	5.158083	7.895045883366288e-175	4.297506881973242e-173	pDC_LILRA4
RPS3A	36.78866	1.207327	3.995181014451764e-175	2.1852861867035348e-173	pDC_LILRA4
LAMP5	36.744873	9.592006	8.761259315420249e-173	4.723229941980318e-171	pDC_LILRA4
LTB	36.50813	6.2244053	4.9920547312181294e-172	2.6783804476698038e-170	pDC_LILRA4
CD99	36.429882	3.0074177	1.8776020516298498e-175	1.0286816833758726e-173	pDC_LILRA4
MYL12A	35.92022	1.9088706	3.198937519969751e-172	1.719059023889327e-170	pDC_LILRA4
ARL4C	35.48844	4.866984	1.0626913642149743e-166	5.517152977790345e-165	pDC_LILRA4
SIDT1	35.45956	7.0831347	2.1926020283658883e-165	1.1330909930024576e-163	pDC_LILRA4
RRBP1	35.351017	4.577953	5.790550507402191e-166	3.0016432122524527e-164	pDC_LILRA4
HMGN1	35.12038	3.1063502	9.253229203386286e-167	4.811393592266937e-165	pDC_LILRA4
N4BP2L1	35.038124	5.108437	1.5366648266149224e-163	7.868751469295319e-162	pDC_LILRA4
SEPT1	34.72343	7.5688157	6.461250455707929e-161	3.2590624678835777e-159	pDC_LILRA4
IL2RG	34.618637	4.36843	9.46648332193538e-162	4.796446451869033e-160	pDC_LILRA4
SRSF7	34.1177	3.7250414	2.2141039864433027e-159	1.0970885252826564e-157	pDC_LILRA4
SEMA7A	33.824486	6.7308493	1.2026312264282537e-155	5.8136953433678024e-154	pDC_LILRA4
RUBCN	33.737396	5.8162127	2.607917991340129e-155	1.258899553011666e-153	pDC_LILRA4
GNA15	33.46843	4.294821	9.902463277186628e-155	4.759680423131615e-153	pDC_LILRA4
SEPT6	32.63085	3.9587865	1.0199613624248084e-149	4.746764937229488e-148	pDC_LILRA4
RASD1	32.403408	7.503829	4.8644931862234894e-147	2.22695969316052e-145	pDC_LILRA4
PMEPA1	32.11922	5.9278154	1.7787200342844215e-145	8.088015227419608e-144	pDC_LILRA4
ANKRD11	31.984339	4.018375	1.154945854175004e-145	5.258749406834133e-144	pDC_LILRA4
FKBP2	31.89091	3.3189225	8.77245292565541e-146	3.999716222963916e-144	pDC_LILRA4
OSTC	31.859028	3.45238	2.134047368546515e-145	9.690645826928069e-144	pDC_LILRA4
INPP4A	31.85302	5.1230426	4.520271847513124e-144	2.0443763708739224e-142	pDC_LILRA4
SSR4	31.805216	2.2082896	3.7151942182154353e-146	1.698504124675046e-144	pDC_LILRA4
BCL11A	31.798372	6.758263	2.194856460851746e-143	9.873630653129335e-142	pDC_LILRA4
DDIT4	31.550413	3.178961	2.9519560764420896e-144	1.3368710758016099e-142	pDC_LILRA4
PIM2	31.520596	5.3750772	5.3824168255112335e-142	2.39570875189928e-140	pDC_LILRA4
MYBL2	31.30967	10.8361635	2.7169586234397153e-140	1.196669331479448e-138	pDC_LILRA4
ZFAT	31.244984	7.49887	5.711081001996226e-140	2.508854801580976e-138	pDC_LILRA4
CHAF1A	31.169432	5.885226	1.1202220979347859e-139	4.9019173204954126e-138	pDC_LILRA4
IRF2BP2	31.131235	4.090871	2.4965690704814078e-140	1.1010392442513161e-138	pDC_LILRA4
PRKCB	31.035925	4.0622725	1.0710627291321352e-139	4.692898256876224e-138	pDC_LILRA4
CORO1C	30.93355	4.272155	6.91244468624629e-139	2.9975278154231984e-137	pDC_LILRA4
PHB	30.899832	3.944526	6.750050340269522e-139	2.9308788165598103e-137	pDC_LILRA4
EZR	30.869991	3.7130733	4.012426600528053e-139	1.7489612144656174e-137	pDC_LILRA4
MALAT1	30.596308	1.0417808	2.3115722919701532e-138	9.985399590466967e-137	pDC_LILRA4
RNASE6	30.448784	3.2907395	5.122671445535237e-137	2.201572598033983e-135	pDC_LILRA4
TRAM1	30.3114	3.5946484	1.5982594355487307e-135	6.78233670294445e-134	pDC_LILRA4
GNG7	30.216713	5.3380265	5.827491561868767e-134	2.430092830267404e-132	pDC_LILRA4
GPR65	30.147715	4.6334395	6.35413685519192e-134	2.6464312385517495e-132	pDC_LILRA4
SNRPN	30.044592	4.4234076	3.0428401817805617e-133	1.2579810685265552e-131	pDC_LILRA4
RPLP0	29.926464	1.3389156	4.875329628158035e-133	2.008182842190181e-131	pDC_LILRA4
HIST1H4C	29.906874	4.0055833	9.103661241867068e-133	3.7407166083349877e-131	pDC_LILRA4
DNAJB9	29.831766	4.3899097	5.2786682312532106e-132	2.158488439124341e-130	pDC_LILRA4
ST6GALNAC4	29.793518	5.993489	2.9893302663964167e-131	1.2120637063292523e-129	pDC_LILRA4
SUB1	29.734592	1.8765053	1.2869854287528915e-133	5.340355546354671e-132	pDC_LILRA4
SEC61G	29.612875	2.7681067	6.293087907082354e-132	2.570173381105853e-130	pDC_LILRA4
TSPYL2	29.553919	4.8543053	3.609301519759527e-130	1.4477595881759225e-128	pDC_LILRA4
P4HB	29.507385	2.878631	3.3259639847199194e-131	1.3469354627542424e-129	pDC_LILRA4
TAGLN2	29.457396	1.8713425	9.520651734669594e-132	3.878946064666957e-130	pDC_LILRA4
IGFLR1	29.387638	3.6595392	1.0631406177455093e-129	4.24928350822268e-128	pDC_LILRA4
PACSIN1	29.276705	13.866777	6.078260956355138e-128	2.3925341666288555e-126	pDC_LILRA4
FYTTD1	29.150345	4.2927046	8.265241860088256e-128	3.2457932311633293e-126	pDC_LILRA4
ALG2	29.130283	4.5358257	1.535969047977023e-127	6.017783849132303e-126	pDC_LILRA4
SMIM3	28.983654	4.035827	4.98944052931719e-127	1.945766310125155e-125	pDC_LILRA4
HIGD1A	28.943302	4.35768	1.838916752439571e-126	7.121892075482633e-125	pDC_LILRA4
ZC3HAV1	28.915648	4.23697	1.6239320066545613e-126	6.303774773297095e-125	pDC_LILRA4
COBLL1	28.895155	7.526443	1.1332768593884954e-125	4.363957771455539e-124	pDC_LILRA4
RNASET2	28.728943	1.5849016	2.7314609917363866e-128	1.080209467788331e-126	pDC_LILRA4
DCK	28.612137	4.0966873	1.5343710276802592e-124	5.821970428677776e-123	pDC_LILRA4
C12orf45	28.4398	4.656979	2.8284006670056466e-123	1.065997003065864e-121	pDC_LILRA4
EIF2AK4	28.225224	4.0435324	3.338251348835528e-122	1.2497671216407143e-120	pDC_LILRA4
PPP1R14A	28.020954	6.4599075	2.1187633576939528e-120	7.819234674056961e-119	pDC_LILRA4
CDK2AP2	27.925951	3.445409	1.027656974821537e-120	3.8134222587705805e-119	pDC_LILRA4
RPS4X	27.913176	1.0057229	1.6797338880216395e-120	6.212618399890354e-119	pDC_LILRA4
HLA-DQA1	27.443085	2.040088	1.8593772619321426e-120	6.869501914862019e-119	pDC_LILRA4
OGT	27.409014	4.102784	4.415612256600776e-117	1.6084285337719628e-115	pDC_LILRA4
OFD1	27.40314	4.6604757	7.38879945708755e-117	2.6849137741098647e-115	pDC_LILRA4
HYOU1	27.045244	4.6326766	1.1762531129130692e-114	4.229740916381318e-113	pDC_LILRA4
RPS8	26.916077	0.89337194	2.8713672709343225e-114	1.0303285285075725e-112	pDC_LILRA4
