names	scores	logfoldchanges	pvals	pvals_adj	cluster
MIF	86.19709	2.8928268	0.0	0.0	Macro_SPP1
SPP1	84.25166	8.80699	0.0	0.0	Macro_SPP1
FN1	77.58963	7.79836	0.0	0.0	Macro_SPP1
CTSL	76.82261	4.617821	0.0	0.0	Macro_SPP1
GPNMB	75.56398	6.112246	0.0	0.0	Macro_SPP1
GAPDH	72.60578	1.5388837	0.0	0.0	Macro_SPP1
CTSB	71.77132	2.0555177	0.0	0.0	Macro_SPP1
SLC11A1	70.13583	3.636658	0.0	0.0	Macro_SPP1
VIM	67.29936	1.4120013	0.0	0.0	Macro_SPP1
MARCO	64.2373	6.073323	0.0	0.0	Macro_SPP1
FTH1	63.465855	0.95451826	0.0	0.0	Macro_SPP1
CXCL3	62.839592	6.137067	0.0	0.0	Macro_SPP1
CXCL8	60.53882	4.953369	0.0	0.0	Macro_SPP1
ALDOA	59.586304	1.468749	0.0	0.0	Macro_SPP1
CCL20	58.699173	6.1095915	0.0	0.0	Macro_SPP1
APOC1	58.523514	5.4438343	0.0	0.0	Macro_SPP1
TREM1	58.47861	3.7481487	0.0	0.0	Macro_SPP1
CYP27A1	57.679066	6.0562124	0.0	0.0	Macro_SPP1
FTL	56.869102	1.0799592	0.0	0.0	Macro_SPP1
FCGR2B	56.112583	4.0600166	0.0	0.0	Macro_SPP1
EREG	55.963783	4.662854	0.0	0.0	Macro_SPP1
S100A10	55.200413	1.6568903	0.0	0.0	Macro_SPP1
CXCL2	54.616833	4.8296127	0.0	0.0	Macro_SPP1
ANGPTL4	54.462093	6.677619	0.0	0.0	Macro_SPP1
OLR1	54.318485	3.6809523	0.0	0.0	Macro_SPP1
TIMP1	54.31768	3.0597837	0.0	0.0	Macro_SPP1
SLC16A10	53.991158	4.4774146	0.0	0.0	Macro_SPP1
CD63	53.725357	1.9070218	0.0	0.0	Macro_SPP1
AQP9	53.37044	3.9674208	0.0	0.0	Macro_SPP1
C15orf48	53.35554	4.125847	0.0	0.0	Macro_SPP1
MMP19	53.241	4.7217035	0.0	0.0	Macro_SPP1
PKM	52.860638	1.9468913	0.0	0.0	Macro_SPP1
LDHA	52.594563	2.356865	0.0	0.0	Macro_SPP1
S100A11	52.47942	0.8432412	0.0	0.0	Macro_SPP1
VCAN	52.44163	4.0969334	0.0	0.0	Macro_SPP1
TPI1	52.433693	1.5185301	0.0	0.0	Macro_SPP1
PHLDA1	52.298798	3.9786594	0.0	0.0	Macro_SPP1
SOD2	50.89627	2.5082753	0.0	0.0	Macro_SPP1
PLAUR	50.598003	1.9974407	0.0	0.0	Macro_SPP1
CD14	50.430286	3.0440156	0.0	0.0	Macro_SPP1
UPP1	50.154064	2.6130102	0.0	0.0	Macro_SPP1
APOE	50.068817	5.3636465	0.0	0.0	Macro_SPP1
CTSD	49.580032	2.5107338	0.0	0.0	Macro_SPP1
ALOX5AP	49.337963	3.291931	0.0	0.0	Macro_SPP1
FABP5	49.26865	3.7605398	0.0	0.0	Macro_SPP1
PLIN2	48.86607	3.0065818	0.0	0.0	Macro_SPP1
CD44	48.10191	1.9513266	0.0	0.0	Macro_SPP1
NPC2	48.09117	1.1030675	0.0	0.0	Macro_SPP1
FBP1	48.08334	3.6608403	0.0	0.0	Macro_SPP1
RAB13	47.9214	3.6728122	0.0	0.0	Macro_SPP1
ENO1	47.524815	1.9084854	0.0	0.0	Macro_SPP1
APLP2	47.36779	2.2865446	0.0	0.0	Macro_SPP1
GPX1	47.119465	1.6815426	0.0	0.0	Macro_SPP1
TUBA1C	45.990925	2.8484833	0.0	0.0	Macro_SPP1
ANPEP	45.32476	3.4811451	0.0	0.0	Macro_SPP1
GLUL	44.97455	1.8082379	0.0	0.0	Macro_SPP1
RGCC	44.25404	3.476046	0.0	0.0	Macro_SPP1
CD163	44.089405	2.8839672	0.0	0.0	Macro_SPP1
IL1RN	43.9675	3.9375165	0.0	0.0	Macro_SPP1
