names	scores	logfoldchanges	pvals	pvals_adj	cluster
PDCD6IP	-13.222156	-0.56937736	1.0310080269371193e-39	8.905097272396641e-39	Mono_CD14
THAP7	-13.222269	-0.78650147	9.698190634733137e-40	8.383038359330384e-39	Mono_CD14
FOSB	-13.222866	-0.58894914	1.0284981119279195e-39	8.885696252128031e-39	Mono_CD14
DSN1	-13.224689	-1.1680547	8.843475898821193e-40	7.648153925433299e-39	Mono_CD14
RP11-382A20.3	-13.225642	-1.1990573	8.681829324314305e-40	7.512212564289836e-39	Mono_CD14
FXYD1	-13.230901	-1.7044697	7.608445568864211e-40	6.596988291232906e-39	Mono_CD14
HMGCL	-13.231102	-0.7650739	8.65375834912274e-40	7.489846745834616e-39	Mono_CD14
TBK1	-13.232273	-0.6346123	8.755110903739726e-40	7.573676682685656e-39	Mono_CD14
CCDC102B	-13.23535	-1.9949322	6.938124872464556e-40	6.021977832375599e-39	Mono_CD14
SPSB1	-13.2359915	-1.0041064	7.790420473985981e-40	6.749561004126604e-39	Mono_CD14
MEIKIN	-13.236789	-1.4940766	7.219441365857214e-40	6.262921147816502e-39	Mono_CD14
PKP2	-13.238776	-0.68337345	7.971457685559834e-40	6.904634839518074e-39	Mono_CD14
STARD7	-13.24527	-0.5911257	7.48492728522454e-40	6.491560873831548e-39	Mono_CD14
SPAG4	-13.245484	-1.3374672	6.5739934148762106e-40	5.707398457120305e-39	Mono_CD14
PGM2	-13.24692	-0.6666301	7.165490475950477e-40	6.217719188685948e-39	Mono_CD14
RP11-388P9.2	-13.2483	-23.85999	5.3273929303361764e-40	4.631093328037852e-39	Mono_CD14
SGTA	-13.25625	-0.6356038	6.383719416942109e-40	5.5436351039806035e-39	Mono_CD14
DVL2	-13.259506	-1.0035315	5.7230963513050474e-40	4.971229916495805e-39	Mono_CD14
PEX2	-13.267903	-0.67670405	5.4171296350214046e-40	4.7078866629458657e-39	Mono_CD14
ORMDL3	-13.269243	-1.1172023	4.944527883780942e-40	4.300488449047885e-39	Mono_CD14
MSH6	-13.278	-0.8137856	4.618408105191362e-40	4.018921557239611e-39	Mono_CD14
PSMG1	-13.278041	-0.69237316	4.715201770809472e-40	4.1020916205952584e-39	Mono_CD14
CDC42EP4	-13.282031	-0.8815074	4.3226771699189085e-40	3.765467543000199e-39	Mono_CD14
PHF19	-13.283679	-0.6673862	4.402194683974801e-40	3.831763050422293e-39	Mono_CD14
RRP15	-13.284013	-0.82370704	4.2641314715799735e-40	3.715429164815506e-39	Mono_CD14
RIC1	-13.284444	-0.62501127	4.397930377470527e-40	3.8290404686948815e-39	Mono_CD14
KBTBD4	-13.287275	-1.1789526	3.868904972736311e-40	3.37367712607084e-39	Mono_CD14
